Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0014,2020-06-19,C2992,Coffee Maker,696,905.5147299335418,Credit Card,Failed
T0025,2022-11-18,C4985,Tablet,114,276.93632041675164,PayPal,Unknown
T0035,2022-07-25,C2579,Coffee Maker,485,970.28,Credit Card,Completed
T0053,2022-07-22,C1077,Laptop,559,154.18505403344284,Credit Card,Failed
T0055,2024-04-17,C2474,Coffee Maker,867,130.23186429200612,Credit Card,Pending
T0093,2024-12-31,C3843,Tablet,973,784.0773703024178,Credit Card,Unknown
T0112,2024-09-06,C4249,Laptop,723,90.34728588175324,Credit Card,Failed
T0143,2022-06-28,C3555,Smartphone,3,625.381192727248,Credit Card,Completed
T0144,2020-02-03,C4891,Coffee Maker,8,375.97285452626176,PayPal,Completed
T0157,2021-02-01,C2917,Coffee Maker,304,863.77,Credit Card,Pending
T0175,2020-09-26,C4393,Laptop,505,213.46164941734105,Cash,Completed
T0179,2021-08-19,C4160,Tablet,622,121.8158272059667,Cash,Completed
T0181,2022-05-04,C887,Smartphone,359,365.48,Credit Card,Failed
T0182,2021-07-24,C4140,Coffee Maker,916,516.1081584281587,Credit Card,Pending
T0185,2024-05-14,C4308,Smartphone,779,388.0390415465828,PayPal,Completed
T0189,2022-08-19,C047,Smartphone,10,252.64176119515056,PayPal,Completed
T0204,2021-02-08,C4690,Headphones,258,854.4182002616594,Credit Card,Unknown
T0225,2023-04-18,C298,Tablet,10,282.0102882048541,PayPal,Failed
T0248,2024-07-10,C2496,Headphones,431,242.13,PayPal,Failed
T0251,2023-04-17,C3631,Headphones,212,873.7449157057446,Credit Card,Failed
T0254,2021-11-14,C2859,Coffee Maker,165,115.37062226098816,Credit Card,Completed
T0274,2023-02-08,C2934,Coffee Maker,8,58.90413474001046,PayPal,Failed
T0284,2022-10-04,C1301,Laptop,222,698.6577228569703,Cash,Pending
T0294,2023-07-24,C1719,Laptop,3,581.8841170252601,Credit Card,Completed
T0304,2022-04-12,C1803,Laptop,5,140.6198774288747,PayPal,Completed
T0358,2022-01-26,C215,Headphones,481,505.1016560358623,Cash,Completed
T0394,2023-09-19,C2968,Tablet,266,444.14613838523064,PayPal,Unknown
T0441,2021-04-28,C1822,Laptop,598,175.65593211106244,Credit Card,Unknown
T0464,2021-06-07,C1343,Headphones,3,644.4471848103135,Credit Card,Unknown
T0475,2020-08-27,C3914,Tablet,3,73.30939822921115,PayPal,Completed
T0478,2024-06-26,C4896,Headphones,178,124.31215620910118,Cash,Completed
T0526,2024-12-11,C3889,Coffee Maker,3,901.392659384538,PayPal,Failed
T0532,2024-06-21,C979,Smartphone,8,163.11752758515232,PayPal,Unknown
T0534,2023-04-18,C2446,Smartphone,451,318.05,PayPal,Failed
T0536,2023-12-26,C193,Headphones,661,496.0210703338801,PayPal,Unknown
T0551,2024-10-20,C1351,Coffee Maker,7,677.8996430726346,PayPal,Completed
T0565,2023-11-25,C577,Headphones,777,740.8441366976862,PayPal,Failed
T0596,2020-05-25,C4981,Smartphone,980,930.0379818138474,Credit Card,Failed
T0621,2022-11-11,C3537,Headphones,313,221.0992079455016,Cash,Unknown
T0632,2020-04-13,C1982,Headphones,638,362.28591057798576,Credit Card,Failed
T0638,2024-07-19,C3044,Tablet,4,464.5194808520282,PayPal,Completed
T0675,2021-07-28,C2617,Laptop,2,235.73045326513756,Credit Card,Completed
T0698,2022-01-23,C1771,Tablet,169,320.65371324440616,Credit Card,Completed
T0708,2023-10-10,C919,Tablet,163,119.55153877012434,Cash,Completed
T0713,2022-01-20,C675,Headphones,8,808.57,PayPal,Completed
T0747,2020-01-22,C4819,Smartphone,6,580.581683468913,PayPal,Completed
T0749,2023-11-03,C3051,Coffee Maker,1,532.7818237284533,Credit Card,Pending
T0767,2021-03-06,C3584,Headphones,6,666.0085284023678,PayPal,Pending
T0788,2021-01-16,C4735,Tablet,831,261.025395989305,Cash,Failed
T0839,2024-02-22,C205,Smartphone,368,305.0921948967844,Credit Card,Failed
T0876,2020-05-13,C1034,Headphones,261,332.3202556776406,PayPal,Completed
T0878,2024-09-27,C4449,Tablet,5,948.8816063349858,PayPal,Failed
T0889,2023-07-27,C3024,Smartphone,5,784.021476433943,Credit Card,Completed
T0892,2023-10-07,C1702,Tablet,850,748.8996734892544,Cash,Unknown
T0919,2024-08-05,C4978,Smartphone,7,115.48299928701152,PayPal,Unknown
T0923,2020-09-22,C2065,Smartphone,5,838.469347414304,Credit Card,Completed
T0924,2025-01-29,C127,Headphones,389,335.3975346648843,Credit Card,Completed
T0994,2025-01-17,C2063,Smartphone,4,901.7674294653611,PayPal,Completed
T1030,2023-10-22,C3820,Smartphone,3,623.32,PayPal,Completed
T1035,2023-04-11,C1503,Tablet,322,804.0855894429212,PayPal,Failed
T1050,2023-08-14,C3701,Tablet,886,206.93192829012216,Credit Card,Pending
T1052,2020-05-15,C2806,Smartphone,9,228.1632527787011,Cash,Failed
T1114,2023-02-08,C2463,Coffee Maker,4,262.96373350857994,PayPal,Unknown
T1117,2022-03-15,C3855,Headphones,174,104.65323111746127,Credit Card,Pending
T1127,2024-08-28,C572,Laptop,4,877.2573667872541,PayPal,Unknown
T1128,2021-03-06,C3808,Headphones,634,474.95,Credit Card,Completed
T1136,2020-01-31,C3769,Tablet,4,156.4249767752559,PayPal,Completed
T1144,2022-12-28,C918,Headphones,702,777.6533762814765,PayPal,Completed
T1217,2021-08-18,C3728,Tablet,962,748.6631283204614,PayPal,Completed
T1220,2021-07-23,C272,Tablet,672,317.8686732848864,Cash,Unknown
T1230,2021-10-15,C4483,Laptop,10,409.36602196485165,Credit Card,Completed
T1284,2022-01-24,C3476,Laptop,1,853.495796271044,Cash,Pending
T1311,2021-10-04,C1550,Laptop,10,673.0732626239276,Cash,Failed
T1343,2021-04-24,C692,Smartphone,4,61.18313373372389,Credit Card,Completed
T1355,2024-07-03,C3036,Tablet,5,668.3960820469829,Credit Card,Completed
T1384,2023-11-09,C4762,Tablet,901,381.27540850112416,PayPal,Unknown
T1437,2022-08-29,C2581,Laptop,9,761.08,Credit Card,Completed
T1440,2022-10-14,C2210,Headphones,242,815.6305493501177,Cash,Completed
T1471,2024-10-16,C1465,Coffee Maker,3,78.58534558323566,PayPal,Failed
T1479,2023-06-13,C2508,Smartphone,6,214.77859749185015,Cash,Pending
T1493,2021-02-25,C2879,Smartphone,1,715.5081882159602,Credit Card,Pending
T1541,2024-04-09,C4694,Tablet,6,571.4295067160451,Credit Card,Completed
T1551,2024-07-27,C4361,Laptop,10,417.2736989529272,PayPal,Completed
T1581,2023-11-20,C1421,Smartphone,688,226.75037557318305,Cash,Completed
T1589,2024-12-15,C4976,Headphones,4,109.73694345271728,PayPal,Pending
T1595,2020-08-18,C296,Laptop,367,762.177107585016,Credit Card,Pending
T1603,2022-02-21,C2538,Coffee Maker,6,811.4722307238061,Credit Card,Completed
T1626,2023-07-25,C2032,Headphones,755,178.4,Cash,Completed
T1634,2020-01-09,C3622,Tablet,750,244.97059103409296,Credit Card,Unknown
T1637,2024-01-12,C199,Coffee Maker,727,765.1625216968708,Credit Card,Completed
T1655,2022-08-28,C447,Laptop,397,978.1023095954228,Credit Card,Pending
T1663,2024-12-24,C4268,Smartphone,3,324.2270236462697,PayPal,Failed
T1684,2023-01-28,C899,Headphones,3,870.3749335541287,Credit Card,Completed
T1700,2022-03-26,C4175,Headphones,2,433.9823668456939,PayPal,Completed
T1702,2020-01-09,C2972,Laptop,6,902.7673941522156,Credit Card,Pending
T1718,2022-07-13,C147,Coffee Maker,681,348.42752593331426,Credit Card,Pending
T1719,2020-01-29,C2692,Laptop,4,227.39,PayPal,Unknown
T1727,2021-01-11,C2735,Tablet,574,105.52785966081728,Credit Card,Failed
T1789,2023-04-11,C585,Coffee Maker,815,821.541963905232,Credit Card,Unknown
T1793,2024-02-20,C950,Laptop,683,898.49280005038,PayPal,Unknown
T1824,2020-11-12,C2745,Coffee Maker,3,624.9672645237616,Cash,Unknown
T1829,2024-11-02,C4048,Smartphone,200,716.5798749546208,PayPal,Pending
T1843,2020-01-24,C1566,Coffee Maker,859,531.52,Cash,Completed
T1847,2022-01-22,C2345,Coffee Maker,10,941.9374860767352,Credit Card,Failed
T1863,2023-10-04,C3356,Headphones,432,62.08412892835336,Cash,Completed
T1882,2023-12-04,C1051,Smartphone,1,541.5701233820571,Cash,Failed
T1895,2020-07-09,C962,Headphones,169,334.1139633214903,Credit Card,Pending
T1901,2023-11-04,C3335,Coffee Maker,969,937.0916473569714,PayPal,Completed
T1924,2024-03-24,C3185,Tablet,4,475.5248452655071,Credit Card,Completed
T1969,2024-11-16,C4912,Smartphone,940,823.4842765869007,PayPal,Pending
T1981,2021-10-24,C4931,Smartphone,632,618.3200478863452,Credit Card,Pending
T1993,2023-08-22,C1208,Coffee Maker,7,329.2081054073638,PayPal,Unknown
T1995,2023-12-28,C2969,Laptop,7,916.1604634727312,PayPal,Completed
T2017,2020-08-25,C3751,Coffee Maker,1,219.7699532015301,PayPal,Failed
T2019,2023-03-04,C2303,Tablet,971,510.9,PayPal,Completed
T2027,2022-01-19,C3470,Headphones,929,340.9197445827171,PayPal,Completed
T2028,2020-04-02,C4887,Coffee Maker,300,263.80980863322975,PayPal,Pending
T2038,2023-12-17,C964,Smartphone,354,649.5029545716259,Credit Card,Failed
T2047,2021-10-12,C4009,Coffee Maker,127,182.03553915693743,Cash,Completed
T2068,2024-05-11,C1509,Laptop,305,689.46,PayPal,Pending
T2083,2020-07-08,C3972,Tablet,3,505.15993208618926,Credit Card,Completed
T2126,2022-04-07,C464,Coffee Maker,9,933.6613192538774,Credit Card,Completed
T2129,2020-10-12,C1710,Smartphone,5,238.77847281650537,PayPal,Completed
T2159,2022-02-28,C2455,Smartphone,903,303.8642096884659,PayPal,Completed
T2168,2023-03-08,C3812,Coffee Maker,2,332.93367430780717,Cash,Completed
T2180,2022-02-25,C2957,Tablet,991,782.5209389262127,Cash,Pending
T2184,2020-12-15,C2068,Coffee Maker,7,308.60266363114437,Credit Card,Unknown
T2186,2020-10-28,C4819,Coffee Maker,6,269.6887150547435,Cash,Completed
T2227,2022-12-09,C678,Headphones,299,286.26,PayPal,Failed
T2231,2022-08-24,C2096,Coffee Maker,1,167.55874694547146,PayPal,Completed
T2253,2022-01-16,C235,Laptop,5,93.92626378635194,Credit Card,Failed
T2254,2023-06-27,C1286,Tablet,1,133.93782886355586,PayPal,Completed
T2284,2020-11-15,C4399,Laptop,975,181.39931011647673,Cash,Unknown
T2291,2023-01-10,C243,Laptop,573,997.4033423125244,Credit Card,Pending
T2301,2022-12-17,C1003,Headphones,3,224.36401718747945,PayPal,Completed
T2302,2021-01-07,C4112,Headphones,10,304.42602368008403,PayPal,Failed
